"date","isin","cusip","ticker_raw","name","sector","asset_class","mkt_val","weight","shares","price","currency","exchange","country"
"2026-09-24","","BMW6VL7","JXN","JXN 8 PERP","","",9496039.28,0.0046,372686.0,25.48,"USD","",""
"2026-09-24","","BSLKYN5","ATH","ATH 7 1/4 03/30/64","","",9464124.87,0.0046,388033.0,24.39,"USD","",""
"2026-09-24","","BTVJJB2","FOUR","FOUR 6 05/01/28","","",9363135.21,0.0045,181298.0,51.645,"USD","",""
"2026-09-24","","BK77YC3","SYF","SYF 5 5/8 PERP","","",9220209.83,0.0045,504501.0,18.2759,"USD","",""
"2026-09-24","","BT6C950","KKR","KKR 6 7/8 06/01/65","","",9197079.96,0.0045,398487.0,23.08,"USD","",""
"2026-09-24","","BH3JGK4","NEE","NEE 5.65 03/01/2079","","",8918136.84,0.0043,458988.0,19.43,"USD","",""
"2026-09-24","","BN460B5","SO","SO 6 1/2 03/15/2085","","",8885335.47,0.0043,379229.0,23.43,"USD","",""
"2026-09-24","","BVPLHH0","NEE","NEE 6 1/2 04/15/2086","","",8845626.93,0.0043,394278.0,22.435,"USD","",""
"2026-09-24","","BPJK038","F","F 6 1/2 08/15/62","","",8730300.38,0.0042,425246.0,20.53,"USD","",""
"2026-09-24","","BLFB156","EIX","EIX 7 1/2 PERP","","",8728034.7,0.0042,377837.0,23.1,"USD","",""
"2026-09-24","","BP398R1","LNC","LNC 9 PERP","","",8704075.62,0.0042,337629.0,25.78,"USD","",""
"2026-09-24","","B87XV26","ALL","ALL 7.47395 01/15/53","","",8697632.7,0.0042,337510.0,25.77,"USD","",""
"2026-09-24","","B0B87W3","MET","MET 5.15616 PERP","","",8639414.28,0.0042,403334.0,21.42,"USD","",""
"2026-09-24","","BJJP666","CMS","CMS 5 7/8 03/01/2079","","",8630565.3,0.0042,423690.0,20.37,"USD","",""
"2026-09-24","","BMWDYS6","BANC","BANC 7 3/4 PERP","","",8626528.4,0.0042,347144.0,24.85,"USD","",""
"2026-09-24","","BSNWT01","SYF","SYF 8 1/4 PERP","","",8618584.52,0.0042,336532.0,25.61,"USD","",""
"2026-09-24","","BMYVT83","WFC","WFC 4.7 PERP","","",8573411.7,0.0041,505806.0,16.95,"USD","",""
"2026-09-24","","BVMNH35","DTE","DTE 6 1/4 10/01/2085","","",8567960.94,0.0041,403578.0,21.23,"USD","",""
"2026-09-24","","BS9FVR5","CRBG","CRBG 6 3/8 12/15/64","","",8541297.48,0.0041,403653.0,21.16,"USD","",""
"2026-09-24","","BNM9HL5","RF","RF 6.95 PERP","","",8427561.32,0.0041,337371.0,24.9801,"USD","",""
"2026-09-24","","BPLKV33","ATH","ATH 7 3/4 PERP","","",8418675.0,0.0041,336747.0,25.0,"USD","",""
"2026-09-24","","BP91X65","WFC","WFC 4 1/4 PERP","","",8378886.56,0.0041,542674.0,15.44,"USD","",""
"2026-09-24","","BJN6RX9","BAC","BAC 5 3/8 PERP","","",8358004.74,0.0041,422762.0,19.77,"USD","",""
"2026-09-24","","BVJ4YD0","QXO","QXO 5 1/2 05/15/28","","",8309491.05,0.004,204315.0,40.67,"USD","",""
"2026-09-24","","BNSNM38","TDS","TDS 6 PERP","","",8300902.4,0.004,463220.0,17.92,"USD","",""
"2026-09-24","","BDT6C58","USB","USB 5 1/2 PERP","","",8290548.15,0.004,403433.0,20.55,"USD","",""
"2026-09-24","","BTJTLY1","BNY","BNY 6.15 PERP","","",8171068.68,0.004,337508.0,24.21,"USD","",""
"2026-09-24","","BJMXZX7","RF","RF 5.7 PERP","","",8076865.44,0.0039,335418.0,24.08,"USD","",""
"2026-09-24","","BMGS0L2","SO","SO 4.2 10/15/60","","",8039633.88,0.0039,503106.0,15.98,"USD","",""
"2026-09-24","","BH58353","FITB","FITB 7.67122 PERP","","",7782243.96,0.0038,303224.0,25.665,"USD","",""
"2026-09-24","","BG844G9","PRU","PRU 5 5/8 08/15/58","","",7653042.59,0.0037,379427.0,20.17,"USD","",""
"2026-09-24","","BK57WX2","JPM","JPM 4 3/4 PERP","","",7648723.33,0.0037,430429.0,17.77,"USD","",""
"2026-09-24","","BMFDGD2","USB","USB 4 PERP","","",7617558.99,0.0037,512277.0,14.87,"USD","",""
"2026-09-24","","BF2PL60","BAC","BAC 6.45 12/15/66","","",7538921.88,0.0036,317562.0,23.74,"USD","",""
"2026-09-24","","B617Z40","USB","USB 5.03452 PERP","","",7496189.03,0.0036,9685.0,773.9999,"USD","",""
"2026-09-24","","BVK4BN8","WTFC","WTFC 7 7/8 PERP","","",7400325.06,0.0036,284847.0,25.98,"USD","",""
"2026-09-24","","BMFYGG8","TFC","TFC 5 1/4 PERP","","",7366988.91,0.0036,386313.0,19.07,"USD","",""
"2026-09-24","","BKVJXF1","BAC","BAC 5 PERP","","",7243803.64,0.0035,392831.0,18.44,"USD","",""
"2026-09-24","","BMJ0KL5","BPY","BPY 6 1/4 07/26/2081","","",7239878.56,0.0035,451364.0,16.04,"USD","",""
"2026-09-24","","BV0YD98","VSEC","VSEC 5 3/4 02/01/29","","",7130662.63,0.0034,152789.0,46.67,"USD","",""
"2026-09-24","","BVK6BQ7","MTB","MTB 6.35 PERP","","",7084031.5,0.0034,311386.0,22.75,"USD","",""
"2026-09-24","","BD2Z8N2","AXS","AXS 5 1/2 PERP","","",7072847.1,0.0034,396905.0,17.82,"USD","",""
"2026-09-24","","BL5C513","WFC","WFC 4 3/8 PERP","","",6988553.61,0.0034,445983.0,15.67,"USD","",""
"2026-09-24","","BFNR2X9","DUK","DUK 5 5/8 09/15/2078","","",6840280.96,0.0033,336628.0,20.32,"USD","",""
"2026-09-24","","BW9KZK9","FITB","FITB 6 7/8 PERP","","",6776200.2,0.0033,267834.0,25.3,"USD","",""
"2026-09-24","","BQGD2H5","CFG","CFG 7 3/8 PERP","","",6771580.62,0.0033,268394.0,25.23,"USD","",""
"2026-09-24","","BMX47S9","COF","COF 4 3/8 PERP","","",6738235.84,0.0033,448021.0,15.04,"USD","",""
"2026-09-24","","BSLL7L7","AMG","AMG 6 3/4 03/30/64","","",6653757.42,0.0032,303980.0,21.8888,"USD","",""
"2026-09-24","","BYPK477","STT","STT 5.35 PERP","","",6583786.56,0.0032,334542.0,19.68,"USD","",""
"2026-09-24","","BMH4QB1","BAC","BAC 4 1/4 PERP","","",6508041.75,0.0032,413209.0,15.75,"USD","",""
"2026-09-24","","BRT81P5","CFG","CFG 6 1/2 PERP","","",6493819.76,0.0031,267676.0,24.26,"USD","",""
"2026-09-24","","BMW32F9","SCHW","SCHW 4.45 PERP","","",6446078.19,0.0031,400129.0,16.11,"USD","",""
