"date","isin","cusip","ticker_raw","name","sector","asset_class","mkt_val","weight","shares","price","currency","exchange","country"
"2026-04-10","","BRBLC59","BA","BA 6 10/15/27","","",101003146.86,0.0478,1459794.0,69.19,"USD","",""
"2026-04-10","","B3KRSW9","WFC","WFC 7 1/2 PERP","","",48545475.0,0.023,40750.0,1191.3,"USD","",""
"2026-04-10","","B3Z1BZ0","C","C 10.2985 10/30/40","","",47612195.96,0.0225,1581769.0,30.1006,"USD","",""
"2026-04-10","","BPBP9W3","NEE","NEE 7.299 06/01/27","","",39594145.8,0.0188,695244.0,56.95,"USD","",""
"2026-04-10","","BMHXRD7","SO","SO 7 1/8 12/15/28","","",36309403.35,0.0172,697587.0,52.05,"USD","",""
"2026-04-10","","BRBVKF5","HPE","HPE 7 5/8 09/01/27","","",36199392.0,0.0172,532344.0,68.0,"USD","",""
"2026-04-10","","BN72V73","KKR","KKR 6 1/4 03/01/28","","",35118080.52,0.0166,884141.0,39.72,"USD","",""
"2026-04-10","","BTTRKK4","MCHP","MCHP 7 1/2 03/15/28","","",31703900.47,0.015,506533.0,62.59,"USD","",""
"2026-04-10","","B2PB3Z7","BAC","BAC 7 1/4 PERP","","",27876557.24,0.0132,23044.0,1209.71,"USD","",""
"2026-04-10","","BRBLDX4","NEE","NEE 7.234 11/01/27","","",27440447.98,0.013,517549.0,53.02,"USD","",""
"2026-04-10","","BPGN2R8","PCG","PCG 6 12/01/27","","",25026287.37,0.0119,557751.0,44.87,"USD","",""
"2026-04-10","","BLL1ZY7","T","T 4 3/4 PERP","","",23003006.16,0.0109,1238052.0,18.58,"USD","",""
"2026-04-10","","BJ2KBT6","JPM","JPM 6 PERP","","",21720519.8,0.0103,862610.0,25.18,"USD","",""
"2026-04-10","","BF545Q2","T","T 5.35 11/01/66","","",20461749.42,0.0097,938182.0,21.81,"USD","",""
"2026-04-10","","BGMJPW3","COF","COF 5 PERP","","",20084578.14,0.0095,1049351.0,19.14,"USD","",""
"2026-04-10","","BFY34D0","JPM","JPM 5 3/4 PERP","","",19594674.0,0.0093,791704.0,24.75,"USD","",""
"2026-04-10","","BTCDKX2","MSTR","MSTR 8 PERP","","",18474224.53,0.0088,252139.0,73.27,"USD","",""
"2026-04-10","","B15CKS5","GS","GS 4.57149 PERP","","",18439273.2,0.0087,950478.0,19.4,"USD","",""
"2026-04-10","","BR4TW49","ARES","ARES 6 3/4 10/01/27","","",17604520.22,0.0083,512206.0,34.37,"USD","",""
"2026-04-10","","BJXH6L3","DUK","DUK 5 3/4 PERP","","",17312423.1,0.0082,698645.0,24.78,"USD","",""
"2026-04-10","","BKDKS91","ALL","ALL 5.1 PERP","","",16808913.5,0.008,819947.0,20.5,"USD","",""
"2026-04-10","","BKPK060","T","T 5 PERP","","",16723023.84,0.0079,839088.0,19.93,"USD","",""
"2026-04-10","","BND7XB0","JPM","JPM 4 5/8 PERP","","",16721133.13,0.0079,863249.0,19.37,"USD","",""
"2026-04-10","","BN75VC7","JPM","JPM 4.2 PERP","","",16594074.0,0.0079,929640.0,17.85,"USD","",""
"2026-04-10","","BJVB6B7","WFC","WFC 4 3/4 PERP","","",16292371.16,0.0077,847678.0,19.22,"USD","",""
"2026-04-10","","BK9PWX2","COF","COF 4.8 PERP","","",16001356.56,0.0076,872484.0,18.34,"USD","",""
"2026-04-10","","BV2JPV7","XEL","XEL 6 1/4 10/15/2085","","",15495484.29,0.0073,624063.0,24.83,"USD","",""
"2026-04-10","","BTZQRD7","NEE","NEE 6 1/2 06/01/2085","","",15317279.01,0.0073,608553.0,25.17,"USD","",""
"2026-04-10","","BPSKDY1","ATH","ATH 6.35 PERP","","",14475876.75,0.0069,606955.0,23.85,"USD","",""
"2026-04-10","","BKM3QB9","SO","SO 4.95 01/30/2080","","",14137300.45,0.0067,701603.0,20.15,"USD","",""
"2026-04-10","","BVZM740","BRKR","BRKR 6 3/8 09/01/28","","",13734081.9,0.0065,46035.0,298.34,"USD","",""
"2026-04-10","","BS55Z77","MTB","MTB 7 1/2 PERP","","",13604065.45,0.0064,522229.0,26.05,"USD","",""
"2026-04-10","","BM8TGF9","JPM","JPM 4.55 PERP","","",13311552.45,0.0063,697305.0,19.09,"USD","",""
"2026-04-10","","BL3BQ19","MET","MET 4 3/4 PERP","","",13273507.8,0.0063,702302.0,18.9,"USD","",""
"2026-04-10","","BZ4C835","CTL","CTL 6 1/2 09/01/56","","",13174272.12,0.0062,685446.0,19.22,"USD","",""
"2026-04-10","","B125QN4","USB","USB 4.5338 PERP","","",13122909.88,0.0062,700262.0,18.74,"USD","",""
"2026-04-10","","BG43LW5","MET","MET 5 5/8 PERP","","",12898291.21,0.0061,563983.0,22.87,"USD","",""
"2026-04-10","","BYPFT55","SCHW","SCHW 5.95 PERP","","",12892143.56,0.0061,524284.0,24.59,"USD","",""
"2026-04-10","","BVJ4YD0","QXO","QXO 5 1/2 05/15/28","","",12751907.91,0.006,207247.0,61.53,"USD","",""
"2026-04-10","","BK59DD5","AEGON","AEGON 5.1 12/15/49","","",12588425.34,0.006,650901.0,19.34,"USD","",""
