"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days","yahoo_ticker","adv_30d","overhang_days","par_value","price_vs_par_pct","signal_score"
"2026-06-30","PFEP0441154","PFEP0441154","MFA-B","MFA B","MFA Financial Inc 7.500%","Preferred Stock","824228.0","827423.0","3195.0","177786.8572","178440.9166","654.0594","20.28","64794.6","BUY","4","MFA-PB",15031,0.2,25.0,-18.88,3.78
"2026-06-30","PFEP0609214","PFEP0609214","CIMP","CIMP","Chimera Investment Corp 8.875%","Preferred Stock","660470.0","663035.0","2565.0","165366.9149","166014.9764","648.0615","25.19","64612.35","BUY","4","CIMP",10963,0.2,25.0,0.76,0.0
"2026-06-30","PFEP0522300","PFEP0522300","DBRG-H","DBRG H","DigitalBridge Group Inc 7.125%","Preferred Stock","1012585.0","1016509.0","3924.0","218249.1554","218862.5202","613.3648","15.6","61214.4","BUY","4","DBRG-PH",33070,0.1,25.0,-37.6,3.76
"2026-06-30","PFEP0607556","PFEP0607556","ANG-D","ANG D","American National Group Inc 7.375%","Preferred Stock","663265.0","665839.0","2574.0","167380.9411","167992.0087","611.0676","23.28","59922.72","BUY","4","ANG-PD",16091,0.2,25.0,-6.88,1.38
"2026-06-30","PFEP0577072","PFEP0577072","MITT-C","MITT C","TPG Mortgage Investment Trust Inc 10.405%","Preferred Stock","604830.0","607179.0","2349.0","145510.5759","146137.1915","626.6156","25.04","58818.96","BUY","4","MITT-PC",8308,0.3,25.0,0.16,0.0
"2026-06-30","PFEP0436741","PFEP0436741","VNO-L","VNO L","Vornado Realty Trust 5.400%","Preferred Stock","846074.0","849359.0","3285.0","149773.3066","150373.5488","600.2422","17.75","58308.75","BUY","4","VNO-PL",27119,0.1,25.0,-29.0,2.9
"2026-06-30","PFEP0607408","PFEP0607408","RCD","RCD","Ready Capital Corp 9.000%","Preferred Stock","663207.0","665781.0","2574.0","157607.3859","158207.0852","599.6993","22.59","58146.66","BUY","4","RCD",6307,0.4,25.0,-9.64,3.86
"2026-06-30","PFEP0597617","PFEP0597617","TDS-U","TDS U","Telephone and Data Systems Inc 6.625%","Preferred Stock","716883.0","719664.0","2781.0","152032.1748","152608.1199","575.9451","20.41","56760.21","BUY","4","TDS-PU",29160,0.1,25.0,-18.36,1.84
"2026-06-30","PFEP0599753","PFEP0599753","VNO-O","VNO O","Vornado Realty Trust 4.450%","Preferred Stock","996643.0","1000504.0","3861.0","149162.2997","149745.9542","583.6545","14.69","56718.09","BUY","4","VNO-PO",17708,0.2,25.0,-41.24,8.25
"2026-06-30","PFEP0539643","PFEP0539643","INN-E","INN E","Summit Hotel Properties Inc 6.250%","Preferred Stock","815306.0","818465.0","3159.0","158643.3517","159210.5569","567.2052","17.74","56040.66","BUY","4","INN-PE",7797,0.4,25.0,-29.04,11.62
