"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days"
"2026-04-08","29103HAB3","29103HAB3","EMACN-B","","EMERA US FINANCE LLC Variable rate, due 10/01/2056","",9250000.0,16065000.0,6815000.0,0.0015,0.0026,0.0011,1.0082,6870883.0,"SUSPECT",1
"2026-04-08","95002YAE3","95002YAE3","WFC-GG","","WELLS FARGO & COMPANY Variable rate","",42400000.0,38615000.0,-3785000.0,0.0069,0.0063,-0.0006,1.0162,-3846317.0,"SELL",1
"2026-04-08","30040WBD9","30040WBD9","ES-B","","EVERSOURCE ENERGY Variable rate, due 08/15/2056","",12760000.0,15030000.0,2270000.0,0.002,0.0024,0.0004,1.0007,2271589.0,"BUY",1
"2026-04-08","29359U109","29359U109","ESGRF","ESGRF","Enstar Group Limited, Series D, 7.000%, Variable Rate","",2571341.0,2631671.0,60330.0,0.0092,0.0095,0.0003,22.55,1360441.5,"BUY",1
"2026-04-08","00912XBQ6","00912XBQ6","AL-D","","AIR LEASE CORP Variable rate","",36433000.0,35083000.0,-1350000.0,0.0057,0.0055,-0.0002,0.9732,-1313820.0,"SELL",1
"2026-04-08","04686J507","04686J507","ATH-E","ATH.E","Athene Holding Ltd., Series E, 7.750% Variable Rate","",1283995.0,1316656.0,32661.0,0.0051,0.0052,0.0001,24.73,807706.53,"BUY",1
"2026-04-08","00206R706","00206R706","T-C","T.C","AT&T Inc., Series C, 4.750%","",591998.0,567203.0,-24795.0,0.0018,0.0017,-0.0001,18.91,-468873.45,"SELL",1
"2026-04-08","00206R300","00206R300","T","TBB","AT&T Inc., 5.350%, Due 11/01/2066","",674612.0,694147.0,19535.0,0.0023,0.0024,0.0001,21.75,424886.25,"BUY",1
"2026-04-08","G16249156","G16249156","BPY","BPYPO","Brookfield Property Partners LP, Series A2, 6.375%","",813331.0,796403.0,-16928.0,0.002,0.0019,-0.0001,15.25,-258152.0,"SELL",1
"2026-04-08","21871X208","21871X208","CRBG","CRBD","Corebridge Financial, Inc., 6.375%, Due 12/15/2064","",2820939.0,2828861.0,7922.0,0.0105,0.0106,0.0001,23.52,186325.44,"BUY",1
"2026-04-08","035710870","035710870","NLY-F","NLY.F","Annaly Capital Management, Inc., Series F, 6.950%, Variable Rate","",378145.0,381789.0,3644.0,0.0015,0.0016,0.0001,25.6,93286.4,"BUY",1
"2026-04-08","87264A303","87264A303","TMUS","TMUSI","T-Mobile USA Inc., 5.50%, Due 06/01/2070","",2442486.0,2439441.0,-3045.0,0.0085,0.0086,0.0001,22.16,-67477.2,"SELL",1
"2026-04-08","G05384162","G05384162","AHL","AHL.D","Aspen Insurance Holdings Limited, 5.625%","",513331.0,515279.0,1948.0,0.0017,0.0017,0.0,20.62,40167.76,"BUY",1
"2026-04-08","87264A204","87264A204","TMUS","TMUSZ","T-Mobile USA Inc., 5.50%, Due 03/01/2070","",3114395.0,3112619.0,-1776.0,0.0107,0.0108,0.0001,21.78,-38681.28,"SELL",1
"2026-04-08","30190A609","30190A609","FG","FGSN","F&G Annuities & Life, Inc., 7.30%, Due 01/15/2065","",2825001.0,2823389.0,-1612.0,0.0095,0.0094,-0.0001,20.9,-33690.8,"SELL",1
"2026-04-08","233331792","233331792","DTE-H","DTK","DTE Energy Company, Series H, 6.25%, Due 10/01/2085","",2580336.0,2579035.0,-1301.0,0.01,0.0101,0.0001,24.44,-31796.44,"SELL",1
"2026-04-08","084423805","084423805","WRB","WRB.F","W.R. Berkley Corporation, 5.100%, Due 12/30/2059","",370556.0,372199.0,1643.0,0.0011,0.0012,0.0001,19.35,31792.05,"BUY",1
"2026-04-08","00775V104","00775V104","AEGON","AEFC","Aegon Funding Company LLC, 5.100%, Due 12/15/2049","",3178363.0,3177047.0,-1316.0,0.0098,0.0099,0.0001,19.38,-25504.08,"SELL",1
"2026-04-08","04686J838","04686J838","ATH","ATHS","Athene Holding Ltd., 7.250% Variable Rate, Due 03/30/2064","",1738472.0,1737480.0,-992.0,0.0068,0.0068,0.0,24.48,-24284.16,"SELL",1
"2026-04-08","G05384204","G05384204","AHL","AHL.E","Aspen Insurance Holdings Limited, 5.625%","",2060175.0,2058999.0,-1176.0,0.0068,0.0067,-0.0001,20.315,-23890.44,"SELL",1
"2026-04-08","03939A107","03939A107","ACGL-F","ACGLO","Arch Capital Group Ltd., Series F, 5.450%","",7761.0,8626.0,865.0,0.0,0.0,0.0,20.24,17507.6,"BUY",1
"2026-04-08","04686J861","04686J861","ATH-A","ATH.A","Athene Holding Ltd., Series A, 6.35% Variable Rate","",1273621.0,1272893.0,-728.0,0.0049,0.0049,0.0,24.0,-17472.0,"SELL",1
