"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days","yahoo_ticker","adv_30d","overhang_days","par_value","price_vs_par_pct","signal_score"
"2026-06-30","48128B648","48128B648","JPM-EE","JPM","JPMorgan Chase & Co","Preferred Stock","2713105.0","2723885.0","10780.0","0.017884","0.017871","-1.3e-05","25.25","272195.0","BUY","2","","","",25.0,1.0,""
"2026-06-30","48128B655","48128B655","JPM-DD","JPM","JPMorgan Chase & Co","Preferred Stock","2486799.0","2496683.0","9884.0","0.015655","0.015634","-2.1e-05","24.1","238204.4","BUY","2","","","",25.0,-3.6,""
"2026-06-30","825252885","825252885","AGPXX","AGPXX","Invesco Government & Agency Portfolio","Money Market Fund, Taxable","3952610.64","4188632.96","236022.31999999983","0.001041","0.001093","5.2e-05","1.0","236022.32","BUY","2","","","",25.0,-96.0,""
"2026-06-30","94988U151","94988U151","WFC-Z","WFC","Wells Fargo & Co","Preferred Stock","2951869.0","2963573.0","11704.0","0.014285","0.014376","9.1e-05","18.67","218513.68","BUY","2","WFC-PZ",211931,0.1,25.0,-25.32,2.53
"2026-06-30","48128B549","48128B549","JPM-LL","JPM","JPMorgan Chase & Co","Preferred Stock","2714328.0","2725108.0","10780.0","0.013285","0.013283","-2e-06","18.76","202232.8","BUY","2","","","",25.0,-24.96,""
"2026-06-30","48128B523","48128B523","JPM-MM","JPM","JPMorgan Chase & Co","Preferred Stock","2932657.0","2944305.0","11648.0","0.013169","0.013158","-1.1e-05","17.2","200345.6","BUY","2","","","",25.0,-31.2,""
"2026-06-30","060505229","060505229","BAC-GG","BAC","Bank of America Corp","Preferred Stock","1979062.0","1986930.0","7868.0","0.012962","0.012927","-3.5e-05","25.04","197014.72","BUY","2","","","",25.0,0.16,""
"2026-06-30","00206R706","00206R706","T-C","T","AT&T Inc","Preferred Stock","2568077.0","2578269.0","10192.0","0.011957","0.011965","8e-06","17.86","182029.12","BUY","2","T-PC",185007,0.1,25.0,-28.56,2.86
"2026-06-30","06053U601","06053U601","BAC-KK","BAC","Bank of America Corp","Preferred Stock","2028694.0","2036758.0","8064.0","0.011382","0.011389","7e-06","21.52","173537.28","BUY","2","","","",25.0,-13.92,""
"2026-06-30","48128B580","48128B580","JPM-JJ","JPM","JPMorgan Chase & Co","Preferred Stock","2200747.0","2209483.0","8736.0","0.01057","0.010621","5.1e-05","18.5","161616.0","BUY","2","","","",25.0,-26.0,""
"2026-06-30","14040H824","14040H824","COF-I","COF","Capital One Financial Corp","Preferred Stock","2202203.0","2210939.0","8736.0","0.010403","0.010496","9.3e-05","18.27","159606.72","BUY","2","COF-PI",138352,0.1,25.0,-26.92,2.69
"2026-06-30","00206R300","00206R300","T","T","AT&T Inc","Preferred Stock","1941614.0","1949314.0","7700.0","0.010415","0.010408","-7e-06","20.55","158235.0","BUY","2","T",48066770,0.0,25.0,-17.8,0.0
"2026-06-30","060505179","060505179","BAC","BAC","Bank of America Corp","Preferred Stock","1540804.0","1546908.0","6104.0","0.010334","0.010285","-4.9e-05","25.59","156201.36","BUY","2","BAC",38792840,0.0,25.0,2.36,0.0
