"date","isin","cusip","ticker","ticker_raw","name","sector","prior_shares","today_shares","shares_delta","prior_weight","today_weight","weight_delta","price","dollar_flow","flow_type","gap_days","yahoo_ticker","adv_30d","overhang_days","par_value","price_vs_par_pct","signal_score"
"2026-04-30","BRBLC59","BRBLC59","BA","BA","BA 6 10/15/27","","1466631.0","1410141.0","-56490.0","0.0491","0.0475","-0.0016","72.2","-4078578.0","SELL","1","BA",6710567,0.0,25.0,188.8,0.0
"2026-04-30","BTTRKK4","BTTRKK4","MCHP","MCHP","MCHP 7 1/2 03/15/28","","508918.0","483823.0","-25095.0","0.0182","0.0178","-0.0004","78.67","-1974223.65","SELL","1","MCHP",9153500,0.0,25.0,214.68,0.0
"2026-04-30","BVJ4YD0","BVJ4YD0","QXO","QXO","QXO 5 1/2 05/15/28","","208201.0","193676.0","-14525.0","0.0054","0.0051","-0.0003","55.8925","-811838.56","SELL","1","QXO",12729437,0.0,25.0,123.57,0.0
"2026-04-30","BFYF0S3","BFYF0S3","UNM","UNM","UNM 6 1/4 06/15/58","","208312.0","208312.0","0.0","0.0023","0.0023","0.0","23.56","0.0","UNCHANGED","1","","","","","",""
"2026-04-30","BVZG8H2","BVZG8H2","TRPCN","TRPCN","TRPCN 6 1/4 11/01/2085","","258124.0","258124.0","0.0","0.0029","0.0029","0.0","23.93","0.0","UNCHANGED","1","","","","","",""
"2026-04-30","BLL1ZY7","BLL1ZY7","T-C","T","T 4 3/4 PERP","","1243847.0","1243847.0","0.0","0.0108","0.0109","0.0001","18.76","0.0","UNCHANGED","1","","","","","",""
"2026-04-30","B1VN1F6","B1VN1F6","BAC","BAC","BAC 4.42565 PERP","","124415.0","124415.0","0.0","0.0011","0.0011","0.0","19.3065","0.0","UNCHANGED","1","","","","","",""
"2026-04-30","BT6C950","BT6C950","KKR-T","KKR","KKR 6 7/8 06/01/65","","414759.0","414759.0","0.0","0.0049","0.0049","0.0","25.09","0.0","UNCHANGED","1","","","","","",""
"2026-04-30","BN4Q1G7","BN4Q1G7","BAC-PP","BAC","BAC 4 1/8 PERP","","284197.0","284197.0","0.0","0.0022","0.0022","0.0","16.79","0.0","UNCHANGED","1","","","","","",""
"2026-04-30","BTVJJB2","BTVJJB2","FOUR","FOUR","FOUR 6 05/01/28","","177989.0","177989.0","0.0","0.0046","0.0047","0.0001","55.98","0.0","UNCHANGED","1","","","","","",""
