"date","isin","cusip","ticker_raw","name","sector","asset_class","mkt_val","weight","shares","price","currency","exchange","country"
"2026-05-01","","PFEP0598391","PEB G","Pebblebrook Hotel Trust 6.375%","Preferred Stock","Preferred Stock","",66728.0165,355775.0,19.99,"USD","",""
"2026-05-01","","PFEP0607135","SPMA","Sound Point Meridian Capital Inc 8.000%","Preferred Stock","Preferred Stock","",70925.0564,283277.0,25.1,"USD","",""
"2026-05-01","","PFEP0607317","METCZ","Ramaco Resources Inc 8.375%","Preferred Stock","Preferred Stock","",68333.0429,273293.0,25.11,"USD","",""
"2026-05-01","","PFEP0607572","ADAMG","Adamas Trust Inc 9.125%","Preferred Stock","Preferred Stock","",65720.4088,263303.0,25.05,"USD","",""
"2026-05-01","","PFEP0606764","HPE C","Hewlett Packard Enterprise Co 7.625%","Preferred Stock","Preferred Stock","",53045.2658,85033.0,76.62,"USD","",""
"2026-05-01","","PFEP0600098","FBRT E","Franklin BSP Realty Trust Inc 7.500%","Preferred Stock","Preferred Stock","",69012.1689,324225.0,19.82,"USD","",""
"2026-05-01","","PFEP0607937","RPT C","Rithm Property Trust Inc 9.875%","Preferred Stock","Preferred Stock","",64092.9762,255884.0,24.82,"USD","",""
"2026-05-01","","PFEP0609636","PINEpA","Alpine Income Property Trust Inc 8.000%","Preferred Stock","Preferred Stock","",61528.8054,245920.0,25.3,"USD","",""
"2026-05-01","","PFEP0609784","XRN B","Chiron Real Estate Inc 8.000%","Preferred Stock","Preferred Stock","",57896.6158,231599.0,24.7,"USD","",""
"2026-05-01","","PFEP0605642","MITP","TPG Mortgage Investment Trust Inc 9.500%","Preferred Stock","Preferred Stock","",57049.1911,226001.0,25.05,"USD","",""
"2026-05-01","","PFEP0583278","F C","Ford Motor Co 6.000%","Preferred Stock","Preferred Stock","",63191.8813,273174.0,20.68,"USD","",""
"2026-05-01","","PFEP0600601","BWNB","Babcock & Wilcox Enterprises Inc 6.500%","Preferred Stock","Preferred Stock","",51981.8519,219239.0,25.07,"USD","",""
"2026-05-01","","PFEP0603597","REGCO","Regency Centers Corp 5.875%","Preferred Stock","Preferred Stock","",55074.7926,240185.0,22.44,"USD","",""
"2026-05-01","","PFEP0610550","NEE V","NextEra Energy Inc 7.375%","Preferred Stock","Preferred Stock","",48578.2812,96724.0,52.52,"USD","",""
"2026-05-01","","PFEP0559674","BHFAL","Brighthouse Financial Inc 6.250%","Preferred Stock","Preferred Stock","",51803.57,290697.0,17.13,"USD","",""
"2026-05-01","","PFEP0604645","BTSGU","BrightSpring Health Services Inc 6.750%","Preferred Stock","Preferred Stock","",47713.0324,31362.0,158.04,"USD","",""
"2026-05-01","","PFEP0601112","KMPB","Kemper Corp 5.875%","Preferred Stock","Preferred Stock","",47497.7135,203874.0,23.83,"USD","",""
"2026-05-01","","PFEP0585158","ARR C","ARMOUR Residential REIT Inc 7.000%","Preferred Stock","Preferred Stock","",46250.1392,212208.0,21.0,"USD","",""
"2026-05-01","","PFEP0599456","INN F","Summit Hotel Properties Inc 5.875%","Preferred Stock","Preferred Stock","",48390.8643,249610.0,17.77,"USD","",""
"2026-05-01","","PFEP0599324","PEB H","Pebblebrook Hotel Trust 5.700%","Preferred Stock","Preferred Stock","",42247.07,242895.0,17.9,"USD","",""
"2026-05-01","","PFEP0599613","PMT C","PennyMac Mortgage Investment Trust 6.750%","Preferred Stock","Preferred Stock","",46144.9581,232682.0,18.33,"USD","",""
